uttid,si_snr_noisy,si_snr_enhanced,improvement
00001,-38.141822814941406,-27.547481536865234,10.594341278076172
00002,-30.075611114501953,-35.25825500488281,-5.182643890380859
00003,-34.488956451416016,-34.134246826171875,0.3547096252441406
00004,-33.6553840637207,-24.91400146484375,8.741382598876953
00005,-25.390567779541016,-25.2625732421875,0.12799453735351562
00006,-19.280101776123047,-21.056995391845703,-1.7768936157226562
00007,-36.677547454833984,-22.022701263427734,14.65484619140625
00008,-42.937400817871094,-26.421449661254883,16.51595115661621
00009,-39.645965576171875,-48.345787048339844,-8.699821472167969
00010,-34.08967208862305,-41.105682373046875,-7.016010284423828
00011,-28.327316284179688,-40.70440673828125,-12.377090454101562
00012,-29.16478729248047,-23.525697708129883,5.639089584350586
00013,-30.77022933959961,-25.522138595581055,5.248090744018555
00014,-22.001220703125,-20.906064987182617,1.0951557159423828
00015,-49.03810119628906,-43.39271545410156,5.6453857421875
00016,-25.8358097076416,-30.93624496459961,-5.100435256958008
00017,-30.022281646728516,-27.282724380493164,2.7395572662353516
00018,-22.258705139160156,-16.70810890197754,5.550596237182617
00019,-23.101177215576172,-26.828689575195312,-3.7275123596191406
00020,-20.461828231811523,-38.694366455078125,-18.2325382232666
00021,-32.07698059082031,-28.594425201416016,3.482555389404297
00022,-44.55534362792969,-50.709434509277344,-6.154090881347656
00023,-24.374849319458008,-25.263710021972656,-0.8888607025146484
00024,-41.965431213378906,-27.361013412475586,14.60441780090332
00025,-33.616729736328125,-41.5111083984375,-7.894378662109375
00026,-37.35307312011719,-42.646514892578125,-5.2934417724609375
00027,-33.57585525512695,-27.47937774658203,6.096477508544922
00028,-31.810081481933594,-44.92881774902344,-13.118736267089844
00029,-24.502140045166016,-20.198022842407227,4.304117202758789
00030,-29.035341262817383,-31.984434127807617,-2.9490928649902344
00031,-21.551942825317383,-41.46642303466797,-19.914480209350586
00032,-20.713191986083984,-40.89666748046875,-20.183475494384766
00033,-32.68086242675781,-27.25844955444336,5.422412872314453
00034,-19.106786727905273,-23.298057556152344,-4.19127082824707
00035,-27.25606918334961,-43.78761672973633,-16.53154754638672
00036,-31.596454620361328,-27.537433624267578,4.05902099609375
00037,-53.94389724731445,-28.409400939941406,25.534496307373047
00038,-36.31229019165039,-34.312713623046875,1.9995765686035156
00039,-19.164546966552734,-46.034629821777344,-26.87008285522461
00040,-46.799644470214844,-54.98143005371094,-8.181785583496094
00041,-38.73900604248047,-31.21270179748535,7.526304244995117
00042,-43.00416946411133,-30.162267684936523,12.841901779174805
00043,-16.529359817504883,-16.515735626220703,0.013624191284179688
00044,-39.601131439208984,-65.84211730957031,-26.240985870361328
00045,-22.743566513061523,-16.545164108276367,6.198402404785156
00046,-39.02592086791992,-31.357715606689453,7.668205261230469
00047,-27.120540618896484,-34.15432357788086,-7.033782958984375
00048,-41.11001968383789,-41.683509826660156,-0.5734901428222656
00049,-29.51349449157715,-33.84712219238281,-4.333627700805664
00050,-52.218746185302734,-28.53371810913086,23.685028076171875
00051,-44.094425201416016,-34.68174743652344,9.412677764892578
00052,-34.47943115234375,-29.64337921142578,4.836051940917969
00053,-22.88446617126465,-19.32619857788086,3.558267593383789
00054,-38.54111862182617,-34.12388229370117,4.417236328125
00055,-56.89504623413086,-54.235137939453125,2.6599082946777344
00056,-65.3144302368164,-25.59766960144043,39.71676063537598
