uttid,si_snr_noisy,si_snr_enhanced,improvement
00102,-38.77903366088867,-41.45981216430664,-2.6807785034179688
00103,-49.32904815673828,-29.759023666381836,19.570024490356445
00104,-35.566993713378906,-35.15781021118164,0.4091835021972656
00105,-30.468849182128906,-28.402023315429688,2.0668258666992188
00106,-50.09126281738281,-40.671077728271484,9.420185089111328
00107,-58.401546478271484,-61.259159088134766,-2.8576126098632812
00108,-31.83763313293457,-41.36968994140625,-9.53205680847168
00109,-37.14338684082031,-31.079835891723633,6.06355094909668
00110,-32.97300338745117,-29.892358779907227,3.0806446075439453
00111,-24.355981826782227,-31.72996711730957,-7.373985290527344
00112,-50.60974884033203,-44.542022705078125,6.067726135253906
00113,-25.05739402770996,-23.66402816772461,1.3933658599853516
00114,-39.237060546875,-38.302467346191406,0.9345932006835938
00115,-24.185630798339844,-33.25312805175781,-9.067497253417969
00116,-30.784820556640625,-34.88502883911133,-4.100208282470703
00117,-35.076454162597656,-38.66625213623047,-3.5897979736328125
00118,-35.273643493652344,-28.10190200805664,7.171741485595703
00119,-28.211088180541992,-42.66686248779297,-14.455774307250977
00120,-31.32424545288086,-36.14115905761719,-4.816913604736328
00121,-18.355655670166016,-23.50621223449707,-5.150556564331055
00122,-19.859195709228516,-20.60173988342285,-0.7425441741943359
00123,-38.588905334472656,-37.873199462890625,0.7157058715820312
00124,-47.21254348754883,-64.48060607910156,-17.268062591552734
00125,-34.84625244140625,-36.29399871826172,-1.4477462768554688
00126,-40.44308090209961,-24.618270874023438,15.824810028076172
00127,-31.63834571838379,-44.746368408203125,-13.108022689819336
00128,-58.962425231933594,-28.7269229888916,30.235502243041992
00129,-18.187355041503906,-21.378639221191406,-3.1912841796875
00130,-32.75425720214844,-70.70423889160156,-37.949981689453125
00131,-29.367053985595703,-20.563644409179688,8.803409576416016
00132,-45.41802215576172,-51.43186950683594,-6.013847351074219
00133,-25.83399772644043,-26.589717864990234,-0.7557201385498047
00134,-35.113895416259766,-25.49840545654297,9.615489959716797
00135,-16.82008171081543,-17.671201705932617,-0.8511199951171875
00136,-21.456708908081055,-29.550878524780273,-8.094169616699219
00137,-32.60549545288086,-24.726886749267578,7.878608703613281
00138,-31.346202850341797,-48.37180709838867,-17.025604248046875
00139,-57.41045379638672,-43.73371887207031,13.676734924316406
00140,-43.26659393310547,-40.04073715209961,3.2258567810058594
00141,-43.00860595703125,-33.84017562866211,9.16843032836914
00142,-19.568775177001953,-25.560178756713867,-5.991403579711914
00143,-39.90216827392578,-25.846261978149414,14.055906295776367
00144,-36.6056022644043,-71.84858703613281,-35.242984771728516
00145,-30.99541664123535,-22.52225112915039,8.473165512084961
00146,-30.223485946655273,-35.36313247680664,-5.139646530151367
00147,-31.194225311279297,-52.3035774230957,-21.109352111816406
00148,-49.60319137573242,-46.640296936035156,2.9628944396972656
00149,-59.82963180541992,-38.121028900146484,21.708602905273438
00150,-55.103336334228516,-28.686752319335938,26.416584014892578
00151,-41.31029510498047,-30.744155883789062,10.566139221191406
00152,-38.430904388427734,-29.195024490356445,9.235879898071289
00153,-61.59963607788086,-49.951255798339844,11.648380279541016
00154,-39.09415817260742,-30.458600997924805,8.635557174682617
00155,-34.66802978515625,-55.98457717895508,-21.316547393798828
00156,-33.48236846923828,-26.149795532226562,7.332572937011719
00157,-22.834699630737305,-25.579740524291992,-2.7450408935546875
00158,-25.725299835205078,-30.10348892211914,-4.3781890869140625
00159,-41.79096603393555,-26.85063362121582,14.940332412719727
00160,-38.26758575439453,-28.44251823425293,9.825067520141602
00161,-38.977294921875,-42.409339904785156,-3.4320449829101562
00162,-49.76233673095703,-52.22024917602539,-2.4579124450683594
00163,-34.47891616821289,-22.08780288696289,12.39111328125
00164,-34.825767517089844,-43.99433135986328,-9.168563842773438
00165,-61.25320053100586,-45.2738151550293,15.979385375976562
00166,-45.23868179321289,-35.234832763671875,10.003849029541016
00167,-38.708824157714844,-35.24692153930664,3.461902618408203
00168,-30.937183380126953,-51.19818878173828,-20.261005401611328
00169,-35.69832229614258,-24.641674041748047,11.056648254394531
00170,-33.684974670410156,-44.21873474121094,-10.533760070800781
00171,-30.90790557861328,-28.292205810546875,2.6156997680664062
00172,-27.602766036987305,-27.863170623779297,-0.2604045867919922
00173,-51.78857421875,-39.767578125,12.02099609375
00174,-56.043758392333984,-63.08987045288086,-7.046112060546875
00175,-38.462276458740234,-44.1670036315918,-5.7047271728515625
00176,-50.004825592041016,-32.43595886230469,17.568866729736328
00177,-37.37006759643555,-41.23146438598633,-3.8613967895507812
00178,-25.022727966308594,-23.566661834716797,1.4560661315917969
00179,-30.831321716308594,-27.73136329650879,3.0999584197998047
00180,-71.63353729248047,-42.27554702758789,29.357990264892578
00181,-47.64358139038086,-32.99496078491211,14.64862060546875
00182,-49.73920822143555,-39.208534240722656,10.53067398071289
00183,-36.071781158447266,-31.08705711364746,4.984724044799805
00184,-21.65452766418457,-19.339860916137695,2.314666748046875
00185,-63.63978958129883,-35.11018371582031,28.529605865478516
00186,-40.23607635498047,-34.02639389038086,6.209682464599609
00187,-36.53527069091797,-48.96335983276367,-12.428089141845703
00188,-46.48105239868164,-70.12373352050781,-23.642681121826172
00189,-37.553199768066406,-35.30941390991211,2.243785858154297
00190,-42.49057388305664,-46.521751403808594,-4.031177520751953
00191,-46.7957878112793,-35.89678955078125,10.898998260498047
00192,-40.31814956665039,-52.881961822509766,-12.563812255859375
